timestamp,asset,model,experiment_id,predicted_price,actual_price,position,pnl,equity,drawdown
2025-10-26T12:00:00Z,SOL-USD,PDE-BE,exp-001,137.95,135.98,-3.8141,2.66,100002.66,0.0909
2025-10-27T02:24:00Z,SOL-USD,PDE-CN,exp-001,134.78,135.42,-1.547,-0.2,100002.46,0.0909
2025-10-27T16:48:00Z,SOL-USD,BS-Analytic,exp-001,139.25,138.01,0.0,-0.0,100002.46,0.0909
2025-10-28T07:12:00Z,BTC-USD,BS-Analytic,exp-002,68859.66,70295.12,0.0,0.0,100002.46,0.0909
2025-10-28T21:36:00Z,ETH-USD,MC-Sim,exp-002,3207.15,3230.42,1.6903,-35.92,99966.54,0.0912
2025-10-29T12:00:00Z,ETH-USD,BS-Analytic,exp-001,3568.5,3470.0,1.8193,-46.11,99920.43,0.0916
2025-10-30T02:24:00Z,ETH-USD,PDE-CN,exp-003,3535.57,3492.7,-3.9788,165.53,100085.96,0.0901
2025-10-30T16:48:00Z,BTC-USD,BS-Analytic,exp-003,70944.07,71458.02,0.0,-0.0,100085.96,0.0901
2025-10-31T07:12:00Z,SOL-USD,PDE-CN,exp-003,143.25,139.59,1.2701,-2.13,100083.83,0.0901
2025-10-31T21:36:00Z,BTC-USD,PDE-BE,exp-003,66166.33,67092.41,0.0,0.0,100083.83,0.0901
2025-11-01T12:00:00Z,BTC-USD,BS-Analytic,exp-002,72274.51,70975.47,-1.4494,1667.88,101751.71,0.075
2025-11-02T02:24:00Z,SOL-USD,BS-Analytic,exp-003,142.01,140.7,0.0,0.0,101751.71,0.075
2025-11-02T16:48:00Z,SOL-USD,BS-Analytic,exp-003,144.34,146.42,0.0,0.0,101751.71,0.075
2025-11-03T07:12:00Z,BTC-USD,PDE-CN,exp-001,65943.54,67602.88,-3.3235,-3221.54,98530.17,0.1043
2025-11-03T21:36:00Z,ETH-USD,BS-Analytic,exp-003,3479.0,3503.22,0.0,0.0,98530.17,0.1043
2025-11-04T12:00:00Z,BTC-USD,MC-Sim,exp-003,67840.97,69447.06,0.0,-0.0,98530.17,0.1043
2025-11-05T02:24:00Z,ETH-USD,MC-Sim,exp-003,3218.11,3175.79,-2.7846,-92.76,98437.41,0.1051
2025-11-05T16:48:00Z,SOL-USD,PDE-BE,exp-001,141.49,140.32,0.0,-0.0,98437.41,0.1051
2025-11-06T07:12:00Z,SOL-USD,BS-Analytic,exp-001,155.63,154.71,-4.6809,3.26,98440.67,0.1051
2025-11-06T21:36:00Z,ETH-USD,PDE-CN,exp-001,3254.77,3306.18,2.687,-119.0,98321.67,0.1062
2025-11-07T12:00:00Z,SOL-USD,BS-Analytic,exp-003,147.8,151.17,-1.6928,-4.25,98317.42,0.1062
2025-11-08T02:24:00Z,ETH-USD,PDE-BE,exp-003,3801.71,3706.33,0.0,-0.0,98317.42,0.1062
2025-11-08T16:48:00Z,ETH-USD,PDE-CN,exp-001,3419.43,3415.83,-0.7881,-2.72,98314.7,0.1062
2025-11-09T07:12:00Z,SOL-USD,PDE-CN,exp-003,136.41,138.74,0.7649,-1.54,98313.16,0.1062
2025-11-09T21:36:00Z,BTC-USD,PDE-BE,exp-002,69546.03,71384.06,2.6844,387.16,98700.32,0.1027
2025-11-10T12:00:00Z,SOL-USD,BS-Analytic,exp-001,155.77,155.1,0.0,0.0,98700.32,0.1027
2025-11-11T02:24:00Z,BTC-USD,BS-Analytic,exp-002,68611.91,69217.01,0.7438,138.13,98838.44,0.1015
2025-11-11T16:48:00Z,SOL-USD,MC-Sim,exp-001,134.89,135.68,-1.3622,-0.08,98838.36,0.1015
2025-11-12T07:12:00Z,BTC-USD,PDE-BE,exp-001,65770.64,66656.32,0.0,0.0,98838.36,0.1015
2025-11-12T21:36:00Z,BTC-USD,PDE-CN,exp-001,64523.05,62646.35,-1.2484,-67.28,98771.08,0.1021
